city,state,lat,lng
Carson,CA,33.8374,-118.2559
Compton,CA,33.893,-118.2274
Chino,CA,33.9836,-117.6654
Hoover,AL,33.3763,-86.8068
Roswell,GA,34.0391,-84.3513
Kirkland,WA,47.697,-122.2057
Avondale,AZ,33.3873,-112.3235
Alafaya,FL,28.528,-81.1868
Norwalk,CT,41.1144,-73.4215
South Gate,CA,33.9447,-118.1926
Santa Monica,CA,34.0235,-118.481
Slidell,LA,30.2887,-89.7828
Florence,SC,34.178,-79.7898
Germantown,MD,39.1755,-77.2643
Lawton,OK,34.6175,-98.4202
Missoula,MT,46.8751,-114.0214
Mayagüez,PR,18.2003,-67.1397
Westminster,CA,33.7523,-117.9938
Joplin,MO,37.0757,-94.5018
Clifton,NJ,40.863,-74.1575
Waukegan,IL,42.3698,-87.8716
Newton,MA,42.3316,-71.2085
Lawrence,MA,42.7002,-71.1626
Bloomington,MN,44.8306,-93.3151
St. Augustine,FL,29.8976,-81.31
Springdale,AR,36.1901,-94.1574
Deerfield Beach,FL,26.305,-80.1277
Bryan,TX,30.665,-96.3807
Troy,MI,42.5817,-83.1457
San Leandro,CA,37.7074,-122.1599
Franklin,TN,35.92,-86.8516
Mission,TX,26.2039,-98.3256
Citrus Heights,CA,38.6948,-121.288
Melbourne,FL,28.1086,-80.6627
Lake Forest,CA,33.6605,-117.6714
Whittier,CA,33.9678,-118.0188
Winchester,VA,39.1735,-78.1746
Georgetown,TX,30.666,-97.6966
San Ramon,CA,37.7624,-121.9365
Town 'n' Country,FL,28.0106,-82.5763
Auburn,WA,47.3039,-122.2108
Livermore,CA,37.6868,-121.7607
Muncie,IN,40.1989,-85.395
Baytown,TX,29.7587,-94.9671
Hawthorne,CA,33.9147,-118.3476
Lehi,UT,40.4136,-111.8725
Wenatchee,WA,47.436,-120.3295
North Port,FL,27.0576,-82.1977
State College,PA,40.7909,-77.8567
Vineland,NJ,39.4653,-74.9981
Folsom,CA,38.6668,-121.1422
